Λήμμα (Lemma),POS,Drill_Type,Front,Back
κινητοποιώ,Verb,Passive Participle,κινητοποιώ (Passive Participle),κινητοποιημένος
κινητοποιώ,Verb,Active Participle,κινητοποιώ (Active Participle),έχοντας κινητοποιήσει
κινητός,Adjective,Feminine,κινητός (Feminine),κινητή
κινητός,Adjective,Neuter,κινητός (Neuter),κινητό
κινώ,Verb,Active Participle,κινώ (Active Participle),έχοντας κινήσει
κλάδος,Noun,Plural,κλάδος (Plural),κλάδοι
κλάδος,Noun,Genitive Singular,κλάδος (Genitive Singular),κλάδου
κλάμα,Noun,Plural,κλάμα (Plural),κλάματα
κλάμα,Noun,Genitive Singular,κλάμα (Genitive Singular),κλάματος
κλάσμα,Noun,Plural,κλάσμα (Plural),κλάσματα
κλάσμα,Noun,Genitive Singular,κλάσμα (Genitive Singular),κλάσματος
κλέβω,Verb,Passive Participle,κλέβω (Passive Participle),κλεμμένος
κλέβω,Verb,Active Participle,κλέβω (Active Participle),έχοντας κλέψει
κλέφτης,Noun,Plural,κλέφτης (Plural),κλέφτες
κλέφτης,Noun,Genitive Singular,κλέφτης (Genitive Singular),κλέφτη
κλήρωση,Noun,Plural,κλήρωση (Plural),κληρώσεις
κλήρωση,Noun,Genitive Singular,κλήρωση (Genitive Singular),κλήρωσης
κλήση,Noun,Plural,κλήση (Plural),κλήσεις
κλήση,Noun,Genitive Singular,κλήση (Genitive Singular),κλήσης
κλίμα,Noun,Plural,κλίμα (Plural),κλίματα
κλίμα,Noun,Genitive Singular,κλίμα (Genitive Singular),κλίματος
κλίμακα,Noun,Plural,κλίμακα (Plural),κλίμακες
κλίμακα,Noun,Genitive Singular,κλίμακα (Genitive Singular),κλίμακας
κλίση,Noun,Plural,κλίση (Plural),κλίσεις
κλίση,Noun,Genitive Singular,κλίση (Genitive Singular),κλίσης
κλαίω,Verb,Active Participle,κλαίω (Active Participle),έχοντας κλάψει
κλαδί,Noun,Plural,κλαδί (Plural),κλαδιά
κλαδί,Noun,Genitive Singular,κλαδί (Genitive Singular),κλαδιού
κλαρί,Noun,Plural,κλαρί (Plural),κλαριά
κλαρί,Noun,Genitive Singular,κλαρί (Genitive Singular),κλαριού
κλασικός,Adjective,Feminine,κλασικός (Feminine),κλασική
κλασικός,Adjective,Neuter,κλασικός (Neuter),κλασικό
κλασσικός,Adjective,Feminine,κλασσικός (Feminine),κλασσική
κλασσικός,Adjective,Neuter,κλασσικός (Neuter),κλασσικό
κλείνω,Verb,Active Participle,κλείνω (Active Participle),έχοντας κλείσει
κλείσιμο,Noun,Plural,κλείσιμο (Plural),κλεισίματα
κλείσιμο,Noun,Genitive Singular,κλείσιμο (Genitive Singular),κλεισίματος
κλειδί,Noun,Plural,κλειδί (Plural),κλειδιά
κλειδί,Noun,Genitive Singular,κλειδί (Genitive Singular),κλειδιού
κλειδαριά,Noun,Plural,κλειδαριά (Plural),κλειδαριές
κλειδαριά,Noun,Genitive Singular,κλειδαριά (Genitive Singular),κλειδαριάς
κλειδώνω,Verb,Active Participle,κλειδώνω (Active Participle),έχοντας κλειδώσει
κλειστός,Adjective,Feminine,κλειστός (Feminine),κλειστή
κλειστός,Adjective,Neuter,κλειστός (Neuter),κλειστό
κληρικός,Noun,Plural,κληρικός (Plural),κληρικοί
κληρικός,Noun,Genitive Singular,κληρικός (Genitive Singular),κληρικού
κληρονομιά,Noun,Plural,κληρονομιά (Plural),κληρονομιές
κληρονομιά,Noun,Genitive Singular,κληρονομιά (Genitive Singular),κληρονομιάς
κληρονομώ,Verb,Passive Participle,κληρονομώ (Passive Participle),κληρονομημένος
κληρονομώ,Verb,Active Participle,κληρονομώ (Active Participle),έχοντας κληρονομήσει
κλιμάκωση,Noun,Plural,κλιμάκωση (Plural),κλιμακώσεις
κλιμάκωση,Noun,Genitive Singular,κλιμάκωση (Genitive Singular),κλιμάκωσης
κλιμακώνω,Verb,Active Participle,κλιμακώνω (Active Participle),έχοντας κλιμακώσει
κλιματισμός,Noun,Plural,κλιματισμός (Plural),κλιματισμοί
κλιματισμός,Noun,Genitive Singular,κλιματισμός (Genitive Singular),κλιματισμού
κλινική,Noun,Plural,κλινική (Plural),κλινικές
κλινική,Noun,Genitive Singular,κλινική (Genitive Singular),κλινικής
κλοπή,Noun,Plural,κλοπή (Plural),κλοπές
κλοπή,Noun,Genitive Singular,κλοπή (Genitive Singular),κλοπής
κλουβί,Noun,Plural,κλουβί (Plural),κλουβιά
κλουβί,Noun,Genitive Singular,κλουβί (Genitive Singular),κλουβιού
κλωστή,Noun,Plural,κλωστή (Plural),κλωστές
κλωστή,Noun,Genitive Singular,κλωστή (Genitive Singular),κλωστής
κοίλωμα,Noun,Plural,κοίλωμα (Plural),κοιλώματα
κοίλωμα,Noun,Genitive Singular,κοίλωμα (Genitive Singular),κοιλώματος
κοιλάδα,Noun,Plural,κοιλάδα (Plural),κοιλάδες
κοιλάδα,Noun,Genitive Singular,κοιλάδα (Genitive Singular),κοιλάδας
κοιλιά,Noun,Plural,κοιλιά (Plural),κοιλιές
κοιλιά,Noun,Genitive Singular,κοιλιά (Genitive Singular),κοιλιάς
κοιλιακός,Adjective,Feminine,κοιλιακός (Feminine),κοιλιακή
κοιλιακός,Adjective,Neuter,κοιλιακός (Neuter),κοιλιακό
κοιμάμαι,Verb,Passive Participle,κοιμάμαι (Passive Participle),‑ο
κοιμητήριο,Noun,Plural,κοιμητήριο (Plural),κοιμητήρια
κοιμητήριο,Noun,Genitive Singular,κοιμητήριο (Genitive Singular),κοιμητήριου
κοινοβουλευτικός,Adjective,Feminine,κοινοβουλευτικός (Feminine),κοινοβουλευτική
κοινοβουλευτικός,Adjective,Neuter,κοινοβουλευτικός (Neuter),κοινοβουλευτικό
κοινοβούλιο,Noun,Plural,κοινοβούλιο (Plural),κοινοβούλια
κοινοβούλιο,Noun,Genitive Singular,κοινοβούλιο (Genitive Singular),κοινοβούλιου
κοινοπραξία,Noun,Plural,κοινοπραξία (Plural),κοινοπραξίες
κοινοπραξία,Noun,Genitive Singular,κοινοπραξία (Genitive Singular),κοινοπραξίας
κοινωνία,Noun,Plural,κοινωνία (Plural),κοινωνίες
κοινωνία,Noun,Genitive Singular,κοινωνία (Genitive Singular),κοινωνίας
κοινωνιολογία,Noun,Plural,κοινωνιολογία (Plural),κοινωνιολογίες
κοινωνιολογία,Noun,Genitive Singular,κοινωνιολογία (Genitive Singular),κοινωνιολογίας
κοινό,Noun,Genitive Singular,κοινό (Genitive Singular),κοινού
κοινός,Adjective,Feminine,κοινός (Feminine),κοινή
κοινός,Adjective,Neuter,κοινός (Neuter),κοινό
κοινότητα,Noun,Plural,κοινότητα (Plural),κοινότητες
κοινότητα,Noun,Genitive Singular,κοινότητα (Genitive Singular),κοινότητας
κοινότοπος,Adjective,Feminine,κοινότοπος (Feminine),κοινότοπη
κοινότοπος,Adjective,Neuter,κοινότοπος (Neuter),κοινότοπο
κοινόχρηστος,Adjective,Feminine,κοινόχρηστος (Feminine),κοινόχρηστή
κοινόχρηστος,Adjective,Neuter,κοινόχρηστος (Neuter),κοινόχρηστό
κοιτάζω,Verb,Passive Participle,κοιτάζω (Passive Participle),κοιταγμένος
κοιτάζω,Verb,Active Participle,κοιτάζω (Active Participle),έχοντας κοιτάξει
κολέγιο,Noun,Plural,κολέγιο (Plural),κολέγια
κολέγιο,Noun,Genitive Singular,κολέγιο (Genitive Singular),κολέγιου
κολλητός,Adjective,Feminine,κολλητός (Feminine),κολλητή
κολλητός,Adjective,Neuter,κολλητός (Neuter),κολλητό
κολλώδης,Adjective,Feminine,κολλώδης (Feminine),κολλώδης
κολλώδης,Adjective,Neuter,κολλώδης (Neuter),κολλώδες
κολόνα,Noun,Plural,κολόνα (Plural),κολόνες
κολόνα,Noun,Genitive Singular,κολόνα (Genitive Singular),κολόνας
κομητεία,Noun,Plural,κομητεία (Plural),κομητείες
κομητεία,Noun,Genitive Singular,κομητεία (Genitive Singular),κομητείας
κομμάτι,Noun,Plural,κομμάτι (Plural),κομμάτια
κομμάτι,Noun,Genitive Singular,κομμάτι (Genitive Singular),κομματιού
κομμουνισμός,Noun,Genitive Singular,κομμουνισμός (Genitive Singular),κομμουνισμού
κομμουνιστής,Noun,Plural,κομμουνιστής (Plural),κομμουνιστές
κομμουνιστής,Noun,Genitive Singular,κομμουνιστής (Genitive Singular),κομμουνιστή
κομμουνιστικός,Adjective,Feminine,κομμουνιστικός (Feminine),κομμουνιστική
κομμουνιστικός,Adjective,Neuter,κομμουνιστικός (Neuter),κομμουνιστικό
κομμωτήριο,Noun,Plural,κομμωτήριο (Plural),κομμωτήρια
κομμωτήριο,Noun,Genitive Singular,κομμωτήριο (Genitive Singular),κομμωτήριου
κομοδίνο,Noun,Plural,κομοδίνο (Plural),κομοδίνα
κομοδίνο,Noun,Genitive Singular,κομοδίνο (Genitive Singular),κομοδίνου
κομψός,Adjective,Feminine,κομψός (Feminine),κομψή
κομψός,Adjective,Neuter,κομψός (Neuter),κομψό
κοντινός,Adjective,Feminine,κοντινός (Feminine),κοντινή
κοντινός,Adjective,Neuter,κοντινός (Neuter),κοντινό
κοντός,Adjective,Feminine,κοντός (Feminine),κοντή
κοντός,Adjective,Neuter,κοντός (Neuter),κοντό
κοντός,Noun,Plural,κοντός (Plural),κοντοί
κοντός,Noun,Genitive Singular,κοντός (Genitive Singular),κοντού
κοπάδι,Noun,Plural,κοπάδι (Plural),κοπάδια
κοπάδι,Noun,Genitive Singular,κοπάδι (Genitive Singular),κοπαδιού
κοπέλα,Noun,Plural,κοπέλα (Plural),κοπέλες
κοπέλα,Noun,Genitive Singular,κοπέλα (Genitive Singular),κοπέλας
κορίτσι,Noun,Plural,κορίτσι (Plural),κορίτσια
κορίτσι,Noun,Genitive Singular,κορίτσι (Genitive Singular),κοριτσιού
κορμί,Noun,Plural,κορμί (Plural),κορμιά
κορμί,Noun,Genitive Singular,κορμί (Genitive Singular),κορμιού
κορμός,Noun,Plural,κορμός (Plural),κορμοί
κορμός,Noun,Genitive Singular,κορμός (Genitive Singular),κορμού
κοροϊδεύω,Verb,Active Participle,κοροϊδεύω (Active Participle),έχοντας κοροϊδέψει
κορυφή,Noun,Plural,κορυφή (Plural),κορυφές
κορυφή,Noun,Genitive Singular,κορυφή (Genitive Singular),κορυφής
κορυφαίος,Adjective,Feminine,κορυφαίος (Feminine),κορυφαία
κορυφαίος,Adjective,Neuter,κορυφαίος (Neuter),κορυφαίο
κορυφαίος,Noun,Plural,κορυφαίος (Plural),κορυφαίοι
κορυφαίος,Noun,Genitive Singular,κορυφαίος (Genitive Singular),κορυφαίου
κορώνα,Noun,Plural,κορώνα (Plural),κορώνες
κορώνα,Noun,Genitive Singular,κορώνα (Genitive Singular),κορώνας
κοστίζω,Verb,Active Participle,κοστίζω (Active Participle),έχοντας κοστίσει
κοστούμι,Noun,Plural,κοστούμι (Plural),κοστούμια
κοστούμι,Noun,Genitive Singular,κοστούμι (Genitive Singular),κοστουμιού
κοτσάνι,Noun,Plural,κοτσάνι (Plural),κοτσάνια
κοτσάνι,Noun,Genitive Singular,κοτσάνι (Genitive Singular),κοτσανιού
κοτόπουλο,Noun,Plural,κοτόπουλο (Plural),κοτόπουλα
κοτόπουλο,Noun,Genitive Singular,κοτόπουλο (Genitive Singular),κοτόπουλου
κουβάς,Noun,Plural,κουβάς (Plural),κουβάδες
κουβάς,Noun,Genitive Singular,κουβάς (Genitive Singular),κουβά
κουβέντα,Noun,Plural,κουβέντα (Plural),κουβέντες
κουβέντα,Noun,Genitive Singular,κουβέντα (Genitive Singular),κουβέντας
κουβέρτα,Noun,Plural,κουβέρτα (Plural),κουβέρτες
κουβέρτα,Noun,Genitive Singular,κουβέρτα (Genitive Singular),κουβέρτας
κουβεντιάζω,Verb,Passive Participle,κουβεντιάζω (Passive Participle),κουβεντιασμένος
κουβεντιάζω,Verb,Active Participle,κουβεντιάζω (Active Participle),έχοντας κουβεντιάσει
κουδουνίζω,Verb,Active Participle,κουδουνίζω (Active Participle),έχοντας κουδουνίσει
κουδούνι,Noun,Plural,κουδούνι (Plural),κουδούνια
κουδούνι,Noun,Genitive Singular,κουδούνι (Genitive Singular),κουδουνιού
κουζίνα,Noun,Plural,κουζίνα (Plural),κουζίνες
κουζίνα,Noun,Genitive Singular,κουζίνα (Genitive Singular),κουζίνας
κουλτούρα,Noun,Plural,κουλτούρα (Plural),κουλτούρες
κουλτούρα,Noun,Genitive Singular,κουλτούρα (Genitive Singular),κουλτούρας
κουμπάρος,Noun,Plural,κουμπάρος (Plural),κουμπάροι
κουμπάρος,Noun,Genitive Singular,κουμπάρος (Genitive Singular),κουμπάρου
κουμπί,Noun,Plural,κουμπί (Plural),κουμπιά
κουμπί,Noun,Genitive Singular,κουμπί (Genitive Singular),κουμπιού
κουνέλι,Noun,Plural,κουνέλι (Plural),κουνέλια
κουνέλι,Noun,Genitive Singular,κουνέλι (Genitive Singular),κουνελιού
κουνούπι,Noun,Plural,κουνούπι (Plural),κουνούπια
κουνούπι,Noun,Genitive Singular,κουνούπι (Genitive Singular),κουνουπιού
κουνώ,Verb,Active Participle,κουνώ (Active Participle),έχοντας κουνήσει
κουράζω,Verb,Passive Participle,κουράζω (Passive Participle),κουρασμένος
κουράζω,Verb,Active Participle,κουράζω (Active Participle),έχοντας κουράσει
κουραστικός,Adjective,Feminine,κουραστικός (Feminine),κουραστική
κουραστικός,Adjective,Neuter,κουραστικός (Neuter),κουραστικό
κουρείο,Noun,Plural,κουρείο (Plural),κουρεία
κουρείο,Noun,Genitive Singular,κουρείο (Genitive Singular),κουρείου
κουρτίνα,Noun,Plural,κουρτίνα (Plural),κουρτίνες
κουρτίνα,Noun,Genitive Singular,κουρτίνα (Genitive Singular),κουρτίνας
κουτάβι,Noun,Plural,κουτάβι (Plural),κουτάβια
κουτάβι,Noun,Genitive Singular,κουτάβι (Genitive Singular),κουταβιού
κουτάλι,Noun,Plural,κουτάλι (Plural),κουτάλια
κουτάλι,Noun,Genitive Singular,κουτάλι (Genitive Singular),κουταλιού
κουτί,Noun,Plural,κουτί (Plural),κουτιά
κουτί,Noun,Genitive Singular,κουτί (Genitive Singular),κουτιού
κουταλιά,Noun,Plural,κουταλιά (Plural),κουταλιές
κουταλιά,Noun,Genitive Singular,κουταλιά (Genitive Singular),κουταλιάς
κουτός,Adjective,Feminine,κουτός (Feminine),κουτή
κουτός,Adjective,Neuter,κουτός (Neuter),κουτό
κουφός,Adjective,Feminine,κουφός (Feminine),κουφή
κουφός,Adjective,Neuter,κουφός (Neuter),κουφό
κοφτερός,Adjective,Feminine,κοφτερός (Feminine),κοφτερή
κοφτερός,Adjective,Neuter,κοφτερός (Neuter),κοφτερό
κούκλα,Noun,Plural,κούκλα (Plural),κούκλες
κούκλα,Noun,Genitive Singular,κούκλα (Genitive Singular),κούκλας
κούπα,Noun,Plural,κούπα (Plural),κούπες
κούπα,Noun,Genitive Singular,κούπα (Genitive Singular),κούπας
κούραση,Noun,Genitive Singular,κούραση (Genitive Singular),κούρασης
κράζω,Verb,Active Participle,κράζω (Active Participle),έχοντας κράξει
κράνος,Noun,Plural,κράνος (Plural),κράνη
κράνος,Noun,Genitive Singular,κράνος (Genitive Singular),κράνους
κράτηση,Noun,Plural,κράτηση (Plural),κρατήσεις
κράτηση,Noun,Genitive Singular,κράτηση (Genitive Singular),κράτησης
κράτος,Noun,Plural,κράτος (Plural),κράτη
κράτος,Noun,Genitive Singular,κράτος (Genitive Singular),κράτους
κρέας,Noun,Plural,κρέας (Plural),κρέατα
κρέας,Noun,Genitive Singular,κρέας (Genitive Singular),κρέατος
κρέμα,Noun,Plural,κρέμα (Plural),κρέμες
κρέμα,Noun,Genitive Singular,κρέμα (Genitive Singular),κρέμας
κρίκος,Noun,Plural,κρίκος (Plural),κρίκοι
κρίκος,Noun,Genitive Singular,κρίκος (Genitive Singular),κρίκου
κρίμα,Noun,Plural,κρίμα (Plural),κρίματα
κρίμα,Noun,Genitive Singular,κρίμα (Genitive Singular),κρίματος
κρίνω,Verb,Active Participle,κρίνω (Active Participle),έχοντας κρίνει
κρίση,Noun,Plural,κρίση (Plural),κρίσεις
κρίση,Noun,Genitive Singular,κρίση (Genitive Singular),κρίσης
κρίσιμος,Adjective,Feminine,κρίσιμος (Feminine),κρίσιμη
κρίσιμος,Adjective,Neuter,κρίσιμος (Neuter),κρίσιμο
κρανίο,Noun,Plural,κρανίο (Plural),κρανία
κρανίο,Noun,Genitive Singular,κρανίο (Genitive Singular),κρανίου
κρασί,Noun,Plural,κρασί (Plural),κρασιά
κρασί,Noun,Genitive Singular,κρασί (Genitive Singular),κρασιού
κρατικός,Adjective,Feminine,κρατικός (Feminine),κρατική
κρατικός,Adjective,Neuter,κρατικός (Neuter),κρατικό
κρατούμενος,Noun,Plural,κρατούμενος (Plural),κρατούμενοι
κρατούμενος,Noun,Genitive Singular,κρατούμενος (Genitive Singular),κρατουμένου
κραυγάζω,Verb,Active Participle,κραυγάζω (Active Participle),έχοντας κραυγάσει
κραυγή,Noun,Plural,κραυγή (Plural),κραυγές
κραυγή,Noun,Genitive Singular,κραυγή (Genitive Singular),κραυγής
κρεβάτι,Noun,Plural,κρεβάτι (Plural),κρεβάτια
κρεβάτι,Noun,Genitive Singular,κρεβάτι (Genitive Singular),κρεβατιού
κρεβατοκάμαρα,Noun,Plural,κρεβατοκάμαρα (Plural),κρεβατοκάμαρες
κρεβατοκάμαρα,Noun,Genitive Singular,κρεβατοκάμαρα (Genitive Singular),κρεβατοκάμαρας
κρεμμύδι,Noun,Plural,κρεμμύδι (Plural),κρεμμύδια
κρεμμύδι,Noun,Genitive Singular,κρεμμύδι (Genitive Singular),κρεμμυδιού
κρεοπωλείο,Noun,Plural,κρεοπωλείο (Plural),κρεοπωλεία
κρεοπωλείο,Noun,Genitive Singular,κρεοπωλείο (Genitive Singular),κρεοπωλείου
κρεοπώλης,Noun,Plural,κρεοπώλης (Plural),κρεοπώλες
κρεοπώλης,Noun,Genitive Singular,κρεοπώλης (Genitive Singular),κρεοπώλη
κριτήριο,Noun,Plural,κριτήριο (Plural),κριτήρια
κριτήριο,Noun,Genitive Singular,κριτήριο (Genitive Singular),κριτήριου
κριτής,Noun,Plural,κριτής (Plural),κριτές
κριτής,Noun,Genitive Singular,κριτής (Genitive Singular),κριτή
κριτική,Noun,Plural,κριτική (Plural),κριτικές
κριτική,Noun,Genitive Singular,κριτική (Genitive Singular),κριτικής
κριτικός,Adjective,Feminine,κριτικός (Feminine),κριτική
κριτικός,Adjective,Neuter,κριτικός (Neuter),κριτικό
κριτικός,Noun,Plural,κριτικός (Plural),κριτικοί
κριτικός,Noun,Genitive Singular,κριτικός (Genitive Singular),κριτικού
κροκόδειλος,Noun,Plural,κροκόδειλος (Plural),κροκόδειλοι
κροκόδειλος,Noun,Genitive Singular,κροκόδειλος (Genitive Singular),κροκοδείλου
κρουαζιέρα,Noun,Plural,κρουαζιέρα (Plural),κτουαζιέρες
κρουαζιέρα,Noun,Genitive Singular,κρουαζιέρα (Genitive Singular),κτουαζιέρας
κρούσμα,Noun,Plural,κρούσμα (Plural),κρούσματα
κρούσμα,Noun,Genitive Singular,κρούσμα (Genitive Singular),κρούσματος
κρυφός,Adjective,Feminine,κρυφός (Feminine),κρυφή
κρυφός,Adjective,Neuter,κρυφός (Neuter),κρυφό
κρύβω,Verb,Active Participle,κρύβω (Active Participle),έχοντας κρύψει
κρύο,Noun,Plural,κρύο (Plural),κρύα
κρύο,Noun,Genitive Singular,κρύο (Genitive Singular),κρύου
κρύος,Adjective,Feminine,κρύος (Feminine),κρύα
κρύος,Adjective,Neuter,κρύος (Neuter),κρύο
κρύσταλλο,Noun,Plural,κρύσταλλο (Plural),κρύσταλλα
κρύσταλλο,Noun,Genitive Singular,κρύσταλλο (Genitive Singular),κρύσταλλου
κρύσταλλος,Noun,Plural,κρύσταλλος (Plural),κρύσταλλοι
κρύσταλλος,Noun,Genitive Singular,κρύσταλλος (Genitive Singular),κρυστάλλου
κρύωμα,Noun,Plural,κρύωμα (Plural),κρυώματα
κρύωμα,Noun,Genitive Singular,κρύωμα (Genitive Singular),κρυώματος
κτήμα,Noun,Plural,κτήμα (Plural),κτήματα
κτήμα,Noun,Genitive Singular,κτήμα (Genitive Singular),κτήματος
κτίζω,Verb,Active Participle,κτίζω (Active Participle),έχοντας κτίσει
κτίσμα,Noun,Plural,κτίσμα (Plural),κτίσματα
κτίσμα,Noun,Genitive Singular,κτίσμα (Genitive Singular),κτίσματος
κτηνίατρος,Noun,Plural,κτηνίατρος (Plural),κτηνίατροι
κτηνίατρος,Noun,Genitive Singular,κτηνίατρος (Genitive Singular),κτηνιάτρου
κτηνώδης,Adjective,Feminine,κτηνώδης (Feminine),κτηνώδης
κτηνώδης,Adjective,Neuter,κτηνώδης (Neuter),κτηνώδες
κτύπημα,Noun,Plural,κτύπημα (Plural),κτυπήματα
κτύπημα,Noun,Genitive Singular,κτύπημα (Genitive Singular),κτυπήματος
κυβέρνηση,Noun,Plural,κυβέρνηση (Plural),κυβερνήσεις
κυβέρνηση,Noun,Genitive Singular,κυβέρνηση (Genitive Singular),κυβέρνησης
κυβερνήτης,Noun,Plural,κυβερνήτης (Plural),κυβερνήτες
κυβερνήτης,Noun,Genitive Singular,κυβερνήτης (Genitive Singular),κυβερνήτη
κυβερνητικός,Adjective,Feminine,κυβερνητικός (Feminine),κυβερνητική
κυβερνητικός,Adjective,Neuter,κυβερνητικός (Neuter),κυβερνητικό
κυκλικός,Adjective,Feminine,κυκλικός (Feminine),κυκλική
κυκλικός,Adjective,Neuter,κυκλικός (Neuter),κυκλικό
κυκλοφορία,Noun,Genitive Singular,κυκλοφορία (Genitive Singular),κυκλοφορίας
κυκλοφορώ,Verb,Passive Participle,κυκλοφορώ (Passive Participle),κυκλοφορημένος
κυκλοφορώ,Verb,Active Participle,κυκλοφορώ (Active Participle),έχοντας κυκλοφορήσει
κυνήγι,Noun,Plural,κυνήγι (Plural),κυνήγια
κυνήγι,Noun,Genitive Singular,κυνήγι (Genitive Singular),κυνηγιού
κυνηγός,Noun,Plural,κυνηγός (Plural),κυνηγοί
κυνηγός,Noun,Genitive Singular,κυνηγός (Genitive Singular),κυνηγού
κυνικός,Adjective,Feminine,κυνικός (Feminine),κυνική
κυνικός,Adjective,Neuter,κυνικός (Neuter),κυνικό
κυνικός,Noun,Plural,κυνικός (Plural),κυνικοί
κυνικός,Noun,Genitive Singular,κυνικός (Genitive Singular),κυνικού
κυρία,Noun,Plural,κυρία (Plural),κυρίες
κυρία,Noun,Genitive Singular,κυρία (Genitive Singular),κυρίας
κυρίαρχος,Adjective,Feminine,κυρίαρχος (Feminine),κυρίαρχη
κυρίαρχος,Adjective,Neuter,κυρίαρχος (Neuter),κυρίαρχο
κυριακάτικος,Adjective,Feminine,κυριακάτικος (Feminine),κυριακάτικη
κυριακάτικος,Adjective,Neuter,κυριακάτικος (Neuter),κυριακάτικο
κυριαρχία,Noun,Plural,κυριαρχία (Plural),κυριαρχίες
κυριαρχία,Noun,Genitive Singular,κυριαρχία (Genitive Singular),κυριαρχίας
κυριαρχώ,Verb,Passive Participle,κυριαρχώ (Passive Participle),κυριαρχημένος
κυριαρχώ,Verb,Active Participle,κυριαρχώ (Active Participle),έχοντας κυριαρχήσει
κυριολεκτικός,Adjective,Feminine,κυριολεκτικός (Feminine),κυριολεκτική
κυριολεκτικός,Adjective,Neuter,κυριολεκτικός (Neuter),κυριολεκτικό
κυριότητα,Noun,Plural,κυριότητα (Plural),κυριότητες
κυριότητα,Noun,Genitive Singular,κυριότητα (Genitive Singular),κυριότητας
κυτταρικός,Adjective,Feminine,κυτταρικός (Feminine),κυτταρική
κυτταρικός,Adjective,Neuter,κυτταρικός (Neuter),κυτταρικό
κωδικός,Adjective,Feminine,κωδικός (Feminine),κωδική
κωδικός,Adjective,Neuter,κωδικός (Neuter),κωδικό
κωδικός,Noun,Plural,κωδικός (Plural),κωδικοί
κωδικός,Noun,Genitive Singular,κωδικός (Genitive Singular),κωδικού
κωμωδία,Noun,Plural,κωμωδία (Plural),κωμωδίες
κωμωδία,Noun,Genitive Singular,κωμωδία (Genitive Singular),κωμωδίας
κόβω,Verb,Passive Participle,κόβω (Passive Participle),κομμένος
κόβω,Verb,Active Participle,κόβω (Active Participle),έχοντας κόψει
κόκκινος,Adjective,Feminine,κόκκινος (Feminine),κόκκινη
κόκκινος,Adjective,Neuter,κόκκινος (Neuter),κόκκινο
κόκκος,Noun,Plural,κόκκος (Plural),κόκκοι
κόκκος,Noun,Genitive Singular,κόκκος (Genitive Singular),κόκκου
κόκορας,Noun,Plural,κόκορας (Plural),κόκορες
κόκορας,Noun,Genitive Singular,κόκορας (Genitive Singular),κόκορα
κόλαση,Noun,Plural,κόλαση (Plural),κολάσεις
κόλαση,Noun,Genitive Singular,κόλαση (Genitive Singular),κόλασης
κόλλα,Noun,Plural,κόλλα (Plural),κόλλες
κόλλα,Noun,Genitive Singular,κόλλα (Genitive Singular),κόλλας
κόλπο,Noun,Plural,κόλπο (Plural),κόλπα
κόλπο,Noun,Genitive Singular,κόλπο (Genitive Singular),κόλπου
κόλπος,Noun,Plural,κόλπος (Plural),κόλποι
κόλπος,Noun,Genitive Singular,κόλπος (Genitive Singular),κόλπου
κόμβος,Noun,Plural,κόμβος (Plural),κόμβοι
κόμβος,Noun,Genitive Singular,κόμβος (Genitive Singular),κόμβου
κόμης,Noun,Plural,κόμης (Plural),κόμητες
κόμης,Noun,Genitive Singular,κόμης (Genitive Singular),κόμητος
κόμμα,Noun,Plural,κόμμα (Plural),κόμματα
κόμμα,Noun,Genitive Singular,κόμμα (Genitive Singular),κόμματος
κόμπος,Noun,Plural,κόμπος (Plural),κόμποι
κόμπος,Noun,Genitive Singular,κόμπος (Genitive Singular),κόμπου
κόπος,Noun,Plural,κόπος (Plural),κόποι
κόπος,Noun,Genitive Singular,κόπος (Genitive Singular),κόπου
κόρη,Noun,Plural,κόρη (Plural),κόρες
κόρη,Noun,Genitive Singular,κόρη (Genitive Singular),κόρης
κόσμημα,Noun,Plural,κόσμημα (Plural),κοσμήματα
κόσμημα,Noun,Genitive Singular,κόσμημα (Genitive Singular),κοσμήματος
κόσμος,Noun,Plural,κόσμος (Plural),κόσμοι
κόσμος,Noun,Genitive Singular,κόσμος (Genitive Singular),κόσμου
κόστος,Noun,Plural,κόστος (Plural),κόστη
κόστος,Noun,Genitive Singular,κόστος (Genitive Singular),κόστους
κότα,Noun,Plural,κότα (Plural),κότες
κότα,Noun,Genitive Singular,κότα (Genitive Singular),κότας
κύβος,Noun,Plural,κύβος (Plural),κύβοι
κύβος,Noun,Genitive Singular,κύβος (Genitive Singular),κύβου
κύκλος,Noun,Plural,κύκλος (Plural),κύκλοι
κύκλος,Noun,Genitive Singular,κύκλος (Genitive Singular),κύκλου
κύκλωμα,Noun,Plural,κύκλωμα (Plural),κυκλώματα
κύκλωμα,Noun,Genitive Singular,κύκλωμα (Genitive Singular),κυκλώματος
κύμα,Noun,Plural,κύμα (Plural),κύματα
κύμα,Noun,Genitive Singular,κύμα (Genitive Singular),κύματος
κύπελλο,Noun,Plural,κύπελλο (Plural),κύπελλα
κύπελλο,Noun,Genitive Singular,κύπελλο (Genitive Singular),κύπελλου
κύριος,Adjective,Feminine,κύριος (Feminine),κύρια
κύριος,Adjective,Neuter,κύριος (Neuter),κύριο
κύριος,Noun,Plural,κύριος (Plural),κύριοι
κύριος,Noun,Genitive Singular,κύριος (Genitive Singular),κυρίου
κύρος,Noun,Genitive Singular,κύρος (Genitive Singular),κύρους
κύρωση,Noun,Plural,κύρωση (Plural),κυρώσεις
κύρωση,Noun,Genitive Singular,κύρωση (Genitive Singular),κύρωσης
